ID,DESCRIPTION,QUANTITY,UNIT_PRICE,TAX,RCV,DEPREC,ACV
82,"R&R Rain cap - 12""",1.00,EA,103.28,7.14,110.42,(0.00),110.42
83,"R&R Rain cap - 4"" to 5""",1.00,EA,56.46,2.92,59.38,(0.00),59.38
84,"R&R Rain cap - 6""",1.00,EA,63.48,3.55,67.03,(0.00),67.03
85,"R&R Rain cap - 8""",1.00,EA,70.28,4.17,74.45,(0.00),74.45
86,"Step flashing",0.00,LF,10.28,0.00,0.00,(0.00),0.00
87,"R&R Flashing, 14"" wide",0.00,LF,5.50,0.00,0.00,(0.00),0.00
88,"R&R Flashing - pipe jack",0.00,EA,59.03,0.00,0.00,(0.00),0.00
89,"R&R Flashing, 14"" wide - copper",0.00,LF,24.00,0.00,0.00,(0.00),0.00
90,"R&R Flashing, 20"" wide",0.00,LF,5.77,0.00,0.00,(0.00),0.00
91,"Digital satellite system - Detach & reset",1.00,EA,52.17,0.00,52.17,(0.00),52.17
92,"R&R Chimney flashing - small (24"" x 24"")",1.00,EA,343.36,5.75,349.11,(0.00),349.11
93,"R&R Chimney flashing - average (32"" x 36"")",0.00,EA,447.84,0.00,0.00,(0.00),0.00
94,"R&R Chimney flashing - large (32"" x 60"")",1.00,EA,596.76,14.73,611.49,(0.00),611.49
95,"R&R Skylight flashing kit - dome",1.00,EA,135.91,8.34,144.25,(0.00),144.25
96,"R&R Skylight flashing kit - dome - Large",1.00,EA,168.07,10.30,178.37,(0.00),178.37
97,"Gutter / downspout - Detach & reset",0.00,LF,5.45,0.00,0.00,(0.00),0.00
98,"R&R Drip edge/gutter apron",0.00,LF,3.50,0.00,0.00,(0.00),0.00
99,"R&R Drip edge",0.00,LF,3.22,0.00,0.00,(0.00),0.00
100,"R&R Drip edge - copper",0.00,LF,10.30,0.00,0.00,(0.00),0.00
101,"Sheathing - additional cost for H-clips",0.00,SF,0.12,0.00,0.00,(0.00),0.00
102,"R&R Sheathing - OSB - 5/8""",0.00,SF,3.05,0.00,0.00,(0.00),0.00
103,"Apply roofing sealant/cement - per LF",0.00,LF,0.72,0.00,0.00,(0.00),0.00
104,"Re-nailing of roof sheathing - complete re-nail",0.00,SF,0.24,0.00,0.00,(0.00),0.00
105,"Solar electric panel - Detach & reset",1.00,EA,277.49,0.00,277.49,(0.00),277.49
106,"Solar panel- mounting hardware- Detach & reset (per panel)",1.00,EA,31.10,0.00,31.10,(0.00),31.10
107,"Remove Additional charge for steep roof - 7/12 to 9/12 slope",0.00,SQ,16.45,0.00,0.00,(0.00),0.00
108,"Additional charge for steep roof - 7/12 to 9/12 slope",0.00,SQ,41.33,0.00,0.00,(0.00),0.00
109,"Remove Additional charge for steep roof - 10/12 - 12/12 slope",0.00,SQ,25.83,0.00,0.00,(0.00),0.00
110,"Additional charge for steep roof - 10/12 - 12/12 slope",0.00,SQ,64.99,0.00,0.00,(0.00),0.00
111,"Remove Additional charge for steep roof greater than 12/12 slope",0.00,SQ,33.11,0.00,0.00,(0.00),0.00
112,"Additional charge for steep roof greater than 12/12 slope",0.00,SQ,84.77,0.00,0.00,(0.00),0.00
113,"Remove Additional charge for high roof (2 stories or greater)",0.00,SQ,6.68,0.00,0.00,(0.00),0.00
114,"Additional charge for high roof (2 stories or greater)",0.00,SQ,19.65,0.00,0.00,(0.00),0.00
115,"Roofing - General Laborer - per hour",0.00,HR,56.25,0.00,0.00,(0.00),0.00
116,"Roofing (Agreed Price)",1.00,EA,0.00,0.00,0.00,(0.00),0.00
117,"Roofing (Bid Item)",1.00,EA,0.00,0.00,0.00,(0.00),0.00

